Clustering_Algorithm,N_Clusters,Dataset,Metric,Value,Data_Perspective
EM,5,Madelon,log-likelihood,-27.694046049491693,RP
EM,10,Madelon,log-likelihood,-27.10083639493805,RP
EM,15,Madelon,log-likelihood,-26.631043042176252,RP
EM,20,Madelon,log-likelihood,-26.09011835316896,RP
EM,25,Madelon,log-likelihood,-25.733140469365814,RP
EM,30,Madelon,log-likelihood,-25.30140713825602,RP
EM,35,Madelon,log-likelihood,-24.958272500155157,RP
EM,40,Madelon,log-likelihood,-24.609558504821724,RP
EM,2,Cars,log-likelihood,122.7645250670867,RP
EM,5,Cars,log-likelihood,134.87893795340412,RP
EM,10,Cars,log-likelihood,141.73661635510598,RP
EM,15,Cars,log-likelihood,151.61192061229653,RP
EM,20,Cars,log-likelihood,155.7135244719889,RP
EM,25,Cars,log-likelihood,156.79360831311138,RP
EM,30,Cars,log-likelihood,159.32194984703796,RP
EM,35,Cars,log-likelihood,162.02968791553528,RP
EM,40,Cars,log-likelihood,163.23868205112439,RP
GMM,2,Cars,Accuracy,0.7002314814814815,RP
Kmeans,2,Cars,Accuracy,0.7002314814814815,RP
GMM,5,Cars,Accuracy,0.7118055555555556,RP
Kmeans,5,Cars,Accuracy,0.7002314814814815,RP
GMM,10,Cars,Accuracy,0.7002314814814815,RP
Kmeans,10,Cars,Accuracy,0.7025462962962963,RP
GMM,15,Cars,Accuracy,0.7002314814814815,RP
Kmeans,15,Cars,Accuracy,0.7094907407407407,RP
GMM,20,Cars,Accuracy,0.7048611111111112,RP
Kmeans,20,Cars,Accuracy,0.7037037037037037,RP
GMM,25,Cars,Accuracy,0.7141203703703703,RP
Kmeans,25,Cars,Accuracy,0.7077546296296297,RP
GMM,30,Cars,Accuracy,0.71875,RP
Kmeans,30,Cars,Accuracy,0.7175925925925926,RP
GMM,35,Cars,Accuracy,0.7210648148148148,RP
Kmeans,35,Cars,Accuracy,0.7129629629629629,RP
GMM,40,Cars,Accuracy,0.7152777777777778,RP
Kmeans,40,Cars,Accuracy,0.7204861111111112,RP
GMM,2,Cars,Mutual_Information,0.006812758322030589,RP
Kmeans,2,Cars,Mutual_Information,0.006290271598935683,RP
GMM,5,Cars,Mutual_Information,0.05204020526846615,RP
Kmeans,5,Cars,Mutual_Information,0.03816654054195194,RP
GMM,10,Cars,Mutual_Information,0.032982225090510686,RP
Kmeans,10,Cars,Mutual_Information,0.05363026813269403,RP
GMM,15,Cars,Mutual_Information,0.04074669866925106,RP
Kmeans,15,Cars,Mutual_Information,0.05374390919646245,RP
GMM,20,Cars,Mutual_Information,0.03895648052677801,RP
Kmeans,20,Cars,Mutual_Information,0.043963388204695635,RP
GMM,25,Cars,Mutual_Information,0.053432765621423066,RP
Kmeans,25,Cars,Mutual_Information,0.04280641638035487,RP
GMM,30,Cars,Mutual_Information,0.04604803159509682,RP
Kmeans,30,Cars,Mutual_Information,0.04640861045294869,RP
GMM,35,Cars,Mutual_Information,0.051733090706028786,RP
Kmeans,35,Cars,Mutual_Information,0.04303824784599283,RP
GMM,40,Cars,Mutual_Information,0.047386326305427696,RP
Kmeans,40,Cars,Mutual_Information,0.054469197341278,RP
GMM,2,Madelon,Accuracy,0.5225274725274726,RP
Kmeans,2,Madelon,Accuracy,0.5049450549450549,RP
GMM,5,Madelon,Accuracy,0.5274725274725275,RP
Kmeans,5,Madelon,Accuracy,0.5285714285714286,RP
GMM,10,Madelon,Accuracy,0.5186813186813187,RP
Kmeans,10,Madelon,Accuracy,0.5197802197802198,RP
GMM,15,Madelon,Accuracy,0.5225274725274726,RP
Kmeans,15,Madelon,Accuracy,0.5346153846153846,RP
GMM,20,Madelon,Accuracy,0.545054945054945,RP
Kmeans,20,Madelon,Accuracy,0.5395604395604395,RP
GMM,25,Madelon,Accuracy,0.5428571428571428,RP
Kmeans,25,Madelon,Accuracy,0.5483516483516484,RP
GMM,30,Madelon,Accuracy,0.5428571428571428,RP
Kmeans,30,Madelon,Accuracy,0.5532967032967033,RP
GMM,35,Madelon,Accuracy,0.5516483516483517,RP
Kmeans,35,Madelon,Accuracy,0.5565934065934066,RP
GMM,40,Madelon,Accuracy,0.5472527472527473,RP
Kmeans,40,Madelon,Accuracy,0.5708791208791208,RP
GMM,2,Madelon,Mutual_Information,0.0010791283069705132,RP
Kmeans,2,Madelon,Mutual_Information,-0.00032622762531167587,RP
GMM,5,Madelon,Mutual_Information,0.00042313637624004136,RP
Kmeans,5,Madelon,Mutual_Information,0.0009863215110260453,RP
GMM,10,Madelon,Mutual_Information,-0.0007474240127733948,RP
Kmeans,10,Madelon,Mutual_Information,-0.0005633901780034012,RP
GMM,15,Madelon,Mutual_Information,-0.000734276643665109,RP
Kmeans,15,Madelon,Mutual_Information,-0.00013798619392122794,RP
GMM,20,Madelon,Mutual_Information,7.928498843550851e-05,RP
Kmeans,20,Madelon,Mutual_Information,-0.00017837162928212167,RP
GMM,25,Madelon,Mutual_Information,5.931150754596416e-05,RP
Kmeans,25,Madelon,Mutual_Information,0.0004861845164560618,RP
GMM,30,Madelon,Mutual_Information,-0.0006851066514723069,RP
Kmeans,30,Madelon,Mutual_Information,0.00027728318821986273,RP
GMM,35,Madelon,Mutual_Information,-0.00013693001508083554,RP
Kmeans,35,Madelon,Mutual_Information,-7.599679313891126e-05,RP
GMM,40,Madelon,Mutual_Information,-0.0007713760622424032,RP
Kmeans,40,Madelon,Mutual_Information,0.0016166965671728475,RP
K_Means,2,Madelon,SSE,28705.25408074417,RF
K_Means,5,Madelon,SSE,20445.12904106945,RF
K_Means,10,Madelon,SSE,15352.663874914237,RF
K_Means,15,Madelon,SSE,12960.180399735269,RF
K_Means,20,Madelon,SSE,11325.966355429731,RF
K_Means,25,Madelon,SSE,10225.174335310752,RF
K_Means,30,Madelon,SSE,9350.47831314506,RF
K_Means,35,Madelon,SSE,8766.868271192585,RF
K_Means,40,Madelon,SSE,8250.719040520094,RF
K_Means,2,Cars,SSE,25056.00000000001,RF
K_Means,5,Cars,SSE,20088.000000000007,RF
K_Means,10,Cars,SSE,17191.200000000004,RF
K_Means,15,Cars,SSE,14704.000000000005,RF
K_Means,20,Cars,SSE,13301.4,RF
K_Means,25,Cars,SSE,12458.1,RF
K_Means,30,Cars,SSE,11751.49341908092,RF
K_Means,35,Cars,SSE,10906.052173913044,RF
K_Means,40,Cars,SSE,10114.5,RF
EM,2,Madelon,log-likelihood,1.0390757887938868,RF
EM,5,Madelon,log-likelihood,2.06170184434897,RF
EM,10,Madelon,log-likelihood,3.064078444562945,RF
EM,15,Madelon,log-likelihood,3.752400206510597,RF
EM,20,Madelon,log-likelihood,4.5324975156455585,RF
EM,25,Madelon,log-likelihood,5.147424270186304,RF
EM,30,Madelon,log-likelihood,5.833154131238514,RF
EM,35,Madelon,log-likelihood,6.515043409094383,RF
EM,40,Madelon,log-likelihood,7.123035542225207,RF
EM,2,Cars,log-likelihood,7.915067957550379,RF
